Produtos,,,,,,,,,,,,,,,,
Código,Código de barras,Nome,Estoque,Custo,Venda Preço unit.,Data última compra,Percentual % markup da última precificação,UN,Qt mínima estoque,Preço última compra,GRUPO,Códigos de barras/EANS,Observação,Pesável,Tipo de produto,Qt Máxima Estoque
283,,AGAR AGAR KG,"0,15","92,5",108,20/02/2026,0,KG,0,,GRANEL,,,Sim,00 - Mercadoria para revenda,0
1051865275,7898596082936,AGUA DE COCO INTEGRAL 200ML COPRA,16,"0,99","4,5",05/11/2025,"354,55",UN,0,,GELADEIRA,7898596082936,,Não,00 - Mercadoria para revenda,0
3097,7898648021821,AGUA DE COCO VITCOCO 200ML,19,"2,5","4,9",26/03/2026,96,UN,0,,GRANEL,7898648021821,,Não,00 - Mercadoria para revenda,0
2767,7898355856280,AGUA DE MELISSA 100ML,1,"6,98","13,5",19/07/2025,"93,41",UN,0,,GERAL,7898355856280,phd,Não,00 - Mercadoria para revenda,0
2512,7896436100642,AGUA MINERAL COM GAS 500ML,0,"0,89","3,5",01/04/2026,0,UN,0,,GELADEIRA,7896436100642,,Não,00 - Mercadoria para revenda,0
1800,7896436103438,AGUA MINERAL SEM GAS 500ML,0,"1,09","2,5",02/04/2026,"129,36",UN,0,,GELADEIRA,7896436103438,,Não,00 - Mercadoria para revenda,0
1923,7896436103285,AGUA SABOR. ABACAXI E HORTELÃ C/ GAS 350ML - AGUA DA PEDRA,0,"2,85","4,5",14/03/2026,"57,89",UN,0,,GELADEIRA,7896436103285,,Não,00 - Mercadoria para revenda,0
1924,7896436103896,AGUA SABOR. BLUE E LIM. SICIL. C/ GAS 350ML - AGUA DA PEDRA,0,"2,85","4,5",09/03/2026,"57,89",UN,0,,GELADEIRA,7896436103896,,Não,00 - Mercadoria para revenda,0
2382,7896098904732,"AGUA SANITARIA YPE LV 2 PG 1,8 L",3,"2,99","4,93",,"68,84",UN,0,,INSUMOS E EMBALAGENS,7896098904732,,Não,00 - Mercadoria para revenda,0
2,,ALBUMINA  KG,"0,576","50,63",115,13/03/2026,"127,14",KG,0,,GRANEL,,NATUROVOS 77.18,Sim,00 - Mercadoria para revenda,0
2543,7896715607046,ALBUMINA NATUROVOS 1KG NATURAL,3,"50,62455",115,18/12/2024,"127,16",UN,0,,SUPLEMENTOS,7896715607046,,Não,00 - Mercadoria para revenda,0
1574,7896715600894,ALBUMINA NATUROVOS 420KG NATURAL,4,"30,27333","53,9",23/02/2026,"78,04",UN,0,,SUPLEMENTOS,7896715600894,,Não,00 - Mercadoria para revenda,0
2714,7898292390700,ALCACHOFRA 500MG 120CAPS,0,"13,85","27,5",,0,UN,0,,ENCAPSULADOS,7898292390700,,Não,00 - Mercadoria para revenda,0
3360,7899643241092,ALCACHOFRA 500MG 60CPS,0,"13,8","23,5",,0,UN,0,,ENCAPSULADOS,7899643241092,,Não,00 - Mercadoria para revenda,0
2296,7894911686315,ALCACHOFRA 60 CAPSULAS  SL   ,1,"14,9","29,9",02/01/2025,"100,67",UN,0,,ENCAPSULADOS,7894911686315,DISTRIVIDA,Não,00 - Mercadoria para revenda,0
3129,7898686180023,ALCACHOFRA 60CPS 500MG CN,1,"18,1","30,5",03/07/2025,"68,51",UN,0,,ENCAPSULADOS,7898686180023,,Não,00 - Mercadoria para revenda,0
2841,7898483538119,ALCACHOFRA C/ BERINJELA 60CAPS - UNILIFE,0,"14,6452","29,9",2/12/2024,"104,16",UN,0,,ENCAPSULADOS,7898483538119,,Não,00 - Mercadoria para revenda,0
2309,7894911866229,ALCACHOFRA E BERINJELA 60CAPS SL,0,"14,74","29,9",11/3/2026,"102,85",UN,0,,ENCAPSULADOS,7894911866229,,Não,00 - Mercadoria para revenda,0
2709,729208022033,ALCOOL 70 1L,9,"8,99","8,99",,0,UN,0,,INSUMOS E EMBALAGENS,729208022033,,Não,00 - Mercadoria para revenda,0
5813,618341771055,ALCOOL DE CEREAIS 1LT,3,"15,06","27,9",12/3/2026,"85,26",UN,0,,GERAL,618341771055,ANTERIOR PRE�O VENDA 18.90 ANTES DO AUMENTO (CUST ANTERIOR 12.28),Não,00 - Mercadoria para revenda,0
6712,618341771062,ALCOOL DE CEREAIS 500ML,8,"9,37","17,9",25/03/2026,"91,04",UN,0,,GERAL,618341771062,CUST ANTERIOR 7.30  VENDA  ANTERIOR  13.50/ PHD C 8.34,Não,00 - Mercadoria para revenda,0
216,,ALECRIM  KG,0,"17,9",39,08/04/2026,"117,88",KG,0,,GRANEL,,,Sim,00 - Mercadoria para revenda,0
1051865197,42882532651,ALFAJOR C/ WHEY AVELA 13G PROTEINA 35GR DR PEANUT,3,"7,8308","13,9",31/03/2026,"77,5",UN,0,,GERAL,42882532651,CX 12UN,Não,00 - Mercadoria para revenda,0
1910,40141188342,ALFAJOR C/ WHEY AVELA 14G PROTEINA 55GR DR PEANUT,0,"8,6475","13,9",08/12/2025,"60,74",UN,0,,GERAL,40141188342,CX 12UN,Não,00 - Mercadoria para revenda,0
1051865110,619205816370,"ALFAJOR C/ WHEY BRIGADEIRO DE COLHER 7,5G PROTEINA 55GR DR PEANUT",0,"9,17","13,9",01/09/2025,"51,58",UN,0,,GERAL,619205816370,CX 12UN,Não,00 - Mercadoria para revenda,0
1051865109,619205816349,ALFAJOR C/ WHEY CHOCOLATE BRANCO 11G PROTEINA 55GR DR PEANUT,1,"8,70675","14,9",10/10/2025,"71,13",UN,0,,GERAL,619205816349,CX 12UN,Não,00 - Mercadoria para revenda,0
1051865196,630941180693,ALFAJOR C/ WHEY COOKIES E CREAM 13G PROTEINA 55GR DR PEANUT,0,"7,2556","13,9",04/07/2025,"91,58",UN,0,,GERAL,630941180693,CX 12UN,Não,00 - Mercadoria para revenda,0
1694,7898765400431,ALFAJOR C/ WHEY PISTACHE 50GR LA GANEXA,7,"8,40333","14,9",10/03/2026,"77,31",UN,0,,GERAL,7898765400431,CX 12UN,Não,00 - Mercadoria para revenda,0
255,,ALFAVACA DESIDRATADA KG,"0,488","21,7",49,22/07/2025,"125,81",KG,0,,GRANEL,,,Sim,00 - Mercadoria para revenda,0
1051865101,7898615894427,algodao quadrado procter baby 100un LASANDAY,2,"24,95","24,95",,0,UN,0,,MOSTRUARIOS E ATIVO FIXO,7898615894427,,Não,00 - Mercadoria para revenda,0
8,,ALHO CEBOLA E SALSA  KG,"1,788","25,76",59,09/04/2026,"129,04",KG,0,,GRANEL,,,Sim,00 - Mercadoria para revenda,0
6,,ALHO FLOCOS KG,0,"6,3",59,31/10/2025,0,KG,0,,GRANEL,,,Sim,00 - Mercadoria para revenda,0
284,,ALHO FRITO GRAN. KG,"0,732","24,11",59,07/04/2026,"144,71",KG,0,,GRANEL,,,Sim,00 - Mercadoria para revenda,0
7,,ALHO GRANULADO DESIDRATADO KG,"0,368","31,4",67,07/04/2026,"113,38",KG,0,,GRANEL,,,Sim,00 - Mercadoria para revenda,0
334,,ALHO PO KG,"1,062","11,9",34,07/04/2026,"185,71",KG,0,,GRANEL,,,Sim,00 - Mercadoria para revenda,0
3099,7898649500301,ALOE VERA 500ML +VITAMINAS A E C SUPRAERVAS,0,"29,75","37,9",28/05/2025,"27,39",UN,0,,GERAL,7898649500301,,Não,00 - Mercadoria para revenda,0
3525,7898449932692,ALOE VERA NATURAL BABOSA 1LT FOREVER LIVING ,3,"116,36","179,9",,"54,61",UN,0,,ENCAPSULADOS,7898449932692,,Não,00 - Mercadoria para revenda,0
1901,7898381450605,ALOE VERA NATURAL BABOSA 1LT MUNDO ALOE,2,"56,31","109,9",05/11/2025,"95,17",UN,0,,ENCAPSULADOS,7898381450605,,Não,00 - Mercadoria para revenda,0
1900,7898381450612,ALOE VERA NATURAL BABOSA 500ML MUNDO ALOE,1,"28,57","59,9",07/04/2026,"109,66",UN,0,,ENCAPSULADOS,7898381450612,,Não,00 - Mercadoria para revenda,0
1669,7889350000075,ALOE VERA SABOR MARACUJA 250ML  BABOSA K,0,"17,89","35,5",18/09/2025,"98,43",UN,0,,ENCAPSULADOS,7889350000075,,Não,00 - Mercadoria para revenda,0
2380,7896098903049,AMACIANTE YPE 500 ML CONCENTRADO DELICADO,0,"7,13","7,2",,0,UN,0,,MOSTRUARIOS E ATIVO FIXO,7896098903049,,Não,00 - Mercadoria para revenda,0
9,,AMARANTO FLOCOS KG,"0,27","33,99",59,02/04/2026,"73,58",KG,0,,GRANEL,,,Sim,00 - Mercadoria para revenda,0
1945,7898197932159,AMARGO 500ML MELFORT,0,"14,27","34,9",26/03/2026,"144,57",UN,0,,ENCAPSULADOS,7898197932159,FIGADO,Não,00 - Mercadoria para revenda,0
11,,AMEIXA SECA S/CAROCO KG,"10,304","35,4",59,10/04/2026,"66,67",KG,0,,GRANEL,,88/110   (NAO  A 110-132),Sim,00 - Mercadoria para revenda,0
13,,AMENDOA DEFUMADA KG,"0,228","62,54",120,10/04/2026,"91,88",KG,0,,GRANEL,,,Sim,00 - Mercadoria para revenda,0
354,,AMENDOA LAMINADA KG,"2,052","74,64",119,10/04/2026,"59,43",KG,0,,GRANEL,,,Sim,00 - Mercadoria para revenda,0
14,,AMENDOA NATURAL  KG,"1,898","56,04",114,08/04/2026,"103,43",KG,0,,GRANEL,,,Sim,00 - Mercadoria para revenda,0
285,,AMENDOA TORRADA SALGADA KG,"0,186","72,13",129,18/03/2026,"78,84",KG,0,,GRANEL,,,Sim,00 - Mercadoria para revenda,0
460,,AMENDOA TORRADA (SEM SAL) KG,"4,372","68,39",130,08/04/2026,"90,09",KG,0,,GRANEL,,,Sim,00 - Mercadoria para revenda,0
15,,AMENDOIM CEBOLA E SALSA   SNACK CROCKISSIMO,"1,141","24,99",39,07/04/2026,"56,06",KG,0,,GRANEL,,,Sim,00 - Mercadoria para revenda,0
16,,AMENDOIM CROCANTE C/ SAL      SNACK CROCKISSIMO,"0,602","24,99",39,01/04/2026,"56,06",KG,0,,GRANEL,,17.49 FORT,Sim,00 - Mercadoria para revenda,0
3542,,AMENDOIM DOCE CENOURA PCTE ,2,8,12,01/04/2026,50,UN,0,,GERAL,,,Não,00 - Mercadoria para revenda,0
374,,AMENDOIM DOCE KG,0,"27,27",47,24/03/2026,"72,35",KG,0,,GRANEL,,,Sim,00 - Mercadoria para revenda,0
17,,AMENDOIM PIMENTA VERMELHA           SNACK CROCKISS,"2,7","24,99",39,24/03/2026,"56,06",KG,0,,GRANEL,,,Sim,00 - Mercadoria para revenda,0
19,,AMENDOIM TORRADO GRANULADO KG,0,"12,7",27,07/04/2026,"112,6",KG,0,,GRANEL,,,Sim,00 - Mercadoria para revenda,0
18,,AMENDOIM TORR C/SAL METADES KG,"2,558","17,99",31,06/04/2026,"72,32",KG,0,,GRANEL,,,Sim,00 - Mercadoria para revenda,0
31,,AMENDOIM TORR S/ SAL METADES KG,"2,838","12,7",29,09/04/2026,"128,35",KG,0,,GRANEL,,,Sim,00 - Mercadoria para revenda,0
2452,7896181711865,AMENDOPOWER AVELA CACAU 450GR PASTA AMEN. DACOLONI,0,"20,47","31,9",04/07/2025,"55,84",UN,0,,GERAL,7896181711865,,Não,00 - Mercadoria para revenda,0
2443,7896181711162,AMENDOPOWER CRUNCHY GRANULADO 500GR,0,"12,92","18,9",06/05/2025,"46,28",UN,0,,GERAL,7896181711162,,Não,00 - Mercadoria para revenda,0
2366,7896035950372,AMIDO DE MILHO 1KG  PACOTE,2,"6,6","11,5",08/04/2026,"74,24",UN,0,,GRANEL,7896035950372,Maizena,Não,00 - Mercadoria para revenda,0
1779,7908793300532,AMINO GREENS AMINOACIDOS ESSENCIAIS SUCO VERDE E LIMAO LATA 261GR 30DS ESSENTIAL,0,"148,8",248,19/03/2026,"66,67",UN,0,,SUPLEMENTOS,7908793300532,,Não,00 - Mercadoria para revenda,0
1051865178,40232946240,AMINO LIFT AMINOACIDOS ESSENCIAIS TANGERINA 375GR 30DS ESSENTIAL,0,"137,25",248,01/04/2026,"80,69",UN,0,,SUPLEMENTOS,40232946240,,Não,00 - Mercadoria para revenda,0
2556,7897074820114,AMORA BRANCA 500MG 60CAPS SL,1,"14,6","27,9",12/03/2026,"91,1",UN,0,,ENCAPSULADOS,7897074820114,,Não,00 - Mercadoria para revenda,0
2843,7898483538201,AMORA C/ GERMEN DE SOJA 60CAP - UNILIFE,0,"17,19","29,9",,0,UN,0,,ENCAPSULADOS,7898483538201,,Não,00 - Mercadoria para revenda,0
